# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
log10;(T x);R;432
log1m;(T x);R;443
log1m_exp;(T x);R;444
log1m_inv_logit;(T x);R;444
log1p;(T x);R;443
log1p_exp;(T x);R;443
log2;();real;423
log2;(T x);R;432
log;(T x);R;432
log_determinant;(matrix A);real;470
log_diff_exp;(real x, real y);real;444
log_falling_factorial;(real x, real n);real;442
log_inv_logit;(T x);R;444
log_mix;(real theta, real lp1, real lp2);real;444
log_rising_factorial;(real x, real n);real;442
log_softmax;(vector x);vector;466
log_sum_exp;(matrix x);real;460
log_sum_exp;(real x, real y);real;444
log_sum_exp;(real[] x);real;446
log_sum_exp;(row_vector x);real;459
log_sum_exp;(vector x);real;459
logistic;~;real;516
logistic_cdf;(reals y, reals mu, reals sigma);real;516
logistic_lccdf;(reals y | reals mu, reals sigma);real;516
logistic_lcdf;(reals y | reals mu, reals sigma);real;516
logistic_lpdf;(reals y | reals mu, reals sigma);real;516
logistic_rng;(real mu, real sigma);real;516
logit;(T x);R;436
lognormal;~;real;518
lognormal_cdf;(reals y, reals mu, reals sigma);real;518
lognormal_lccdf;(reals y | reals mu, reals sigma);real;518
lognormal_lcdf;(reals y | reals mu, reals sigma);real;518
lognormal_lpdf;(reals y | reals mu, reals sigma);real;518
lognormal_rng;(real mu, real beta);real;518
machine_precision;();real;423
matrix_exp;(matrix A);matrix;469
max;(int x, int y);int;420
max;(int[] x);int;445
max;(matrix x);real;460
max;(real[] x);real;445
max;(row_vector x);real;460
max;(vector x);real;460
mdivide_left_spd;(matrix A, matrix B);vector;469
mdivide_left_spd;(matrix A, vector b);matrix;469
mdivide_left_tri_low;(matrix A, matrix B);matrix;468
mdivide_left_tri_low;(matrix A, vector b);vector;468
mdivide_right_spd;(matrix B, matrix A);matrix;469
mdivide_right_spd;(row_vector b, matrix A);row_vector;469
mdivide_right_tri_low;(matrix B, matrix A);matrix;469
mdivide_right_tri_low;(row_vector b, matrix A);row_vector;469
mean;(matrix x);real;461
mean;(real[] x);real;446
